Tweet_count,Username,Text,Created At,Retweets,Likes,Tweet_ID,Profile_Pic,Media_Files,T_co_Links
1,The Final Hours777,"(#PLANDEMIC): 🇨🇳 Increasing cases of HMPV Metapneumovirus Infections among humans have been reported in #China.  Symptoms similar to a cold, flu or #Covid-19 has also spread in the #US.  🇺🇸 The Department of Agriculture authorized the importation of a live (aMPV) vaccine. https://t.co/PayHDqguvd",Sun Dec 29 13:22:29 +0000 2024,7,5,1873358932472942636,profile_pics\The_Final_Hours777_1873358932472942636.jpg,downloaded_images\1873358932472942636_video_thumb_0.jpg,https://t.co/PayHDqguvd
2,The Nicolas Bowling Show,"I see #BillGates back in the news cycle. Here is a clip and expert from my documentary exposing how Bill Gates PROFITED off the #COVID #pandemic and the #vaccine.  Just months before patient zero in 2019, Bill Gates invested 55 million dollars in BioNTech. The same company that https://t.co/0zT7ynd4m6",Sat Dec 28 04:47:46 +0000 2024,12,18,1872867010670940640,profile_pics\The_Nicolas_Bowling_Show_1872867010670940640.jpg,downloaded_images\1872867010670940640_photo_0.jpg|downloaded_images\1872867010670940640_video_thumb_1.jpg,https://t.co/0zT7ynd4m6
3,RealityDistortionFields,The following states have permanently banned mask mandates and vaccine mandates. #Covid #DeSantis 😷💉 https://t.co/fg9kfXRmfe,Tue Dec 31 12:20:59 +0000 2024,68,284,1874068229326594436,profile_pics\RealityDistortionFields_1874068229326594436.jpg,downloaded_images\1874068229326594436_photo_0.jpg,https://t.co/fg9kfXRmfe
4,VaccinesToday,"In cold seasons, the spread of respiratory viruses increases. Spread the word, not viruses. #InformAndProtect #vaccine #influenza #rsv #covid https://t.co/QuQkCoyIvf",Mon Dec 30 07:53:00 +0000 2024,0,0,1873638402341363929,profile_pics\VaccinesToday_1873638402341363929.jpg,downloaded_images\1873638402341363929_video_thumb_0.jpg,https://t.co/QuQkCoyIvf
5,lucy 🇨🇦🇺🇸,Can someone explain to me the connection between #Covid and the rapidly increasing spread of #norovirus? https://t.co/t5CbtrxyQG,Mon Dec 30 18:33:44 +0000 2024,22,147,1873799648793821379,profile_pics\lucy__1873799648793821379.jpg,downloaded_images\1873799648793821379_gif_thumb_0.jpg,https://t.co/t5CbtrxyQG
6,lucy 🇨🇦🇺🇸,"Happy my son tested neg. for #Covid, but the fact that my exes family engaged in risky behaviour, with medically fragile people present, and there was seemingly no consequence raises the risk level, ultimately for us all. So many competing and ambivalent feelings ALL THE TIME. https://t.co/edNh38kW1y",Mon Dec 30 23:58:24 +0000 2024,0,37,1873881354179665961,profile_pics\lucy__1873881354179665961.jpg,downloaded_images\1873881354179665961_gif_thumb_0.jpg,https://t.co/edNh38kW1y
7,Hi! I’m H5N1🐔🦠☠️,"Hi everybody!  It’s so exciting! I think 2025 is going to be my year!  Thanks to you humans for ignoring my approach and downplaying my severity!  Now, don’t go wearing a mask. That would spoil the party!  #HappyFluYear!!!  #H5N1 #Covid #Flu #MaskUp https://t.co/p16OLKeflh",Sun Dec 29 21:49:24 +0000 2024,3,18,1873486501528687011,profile_pics\Hi_Im_H5N1_1873486501528687011.jpg,downloaded_images\1873486501528687011_photo_0.jpg,https://t.co/p16OLKeflh
8,UT Southwestern O'Donnell Brain Institute,"Dr. Amber Salter is first author on research that shows having a #COVID infection didn’t cause more symptoms or disability among multiple sclerosis patients, as originally believed. The research followed more than 2,100 MS patients for more than 18 months. https://t.co/301YnB2yh7 https://t.co/9KpNYJjV0v",Fri Dec 27 17:51:15 +0000 2024,2,4,1872701795643854987,profile_pics\UT_Southwestern_ODonnell_Brain_Institute_1872701795643854987.jpg,downloaded_images\1872701795643854987_photo_0.jpg,https://t.co/301YnB2yh7|https://t.co/9KpNYJjV0v
9,WilmyHood,"I know #Covid was real. I've had it, but take a look at this and tell me it's wrong. https://t.co/fIz21MhCC0",Mon Dec 30 23:22:33 +0000 2024,1,46,1873872331732639934,profile_pics\WilmyHood_1873872331732639934.jpg,downloaded_images\1873872331732639934_photo_0.jpg,https://t.co/fIz21MhCC0
10,Dr Mahendra G Patel OBE 🕉,This young man talks so much sense @RoyLilley @SkyNews —constant breath of common sense!  Take heed as 2024 comes to close with quad-demic now circulating in UK: — GET VACCINATED — 4 major viruses on the march TOGETHER! — Mask &amp; ventilate room — Don’t ignore learning from #COVID https://t.co/2rn9WeBrnu,Sun Dec 29 09:03:44 +0000 2024,32,88,1873293816826065068,profile_pics\Dr_Mahendra_G_Patel_OBE__1873293816826065068.jpg,downloaded_images\1873293816826065068_photo_0.jpg,https://t.co/2rn9WeBrnu
11,Angewickk,One of the most beautiful moments of my year 2024 without #covid without #swith but only with #KeanuReeves in London https://t.co/7AOpnPlagV,Tue Dec 31 08:47:07 +0000 2024,2,26,1874014409770885578,profile_pics\Angewickk_1874014409770885578.jpg,downloaded_images\1874014409770885578_photo_0.jpg|downloaded_images\1874014409770885578_photo_1.jpg,https://t.co/7AOpnPlagV
